Successrate; Neg_Rewards; LearninRate; Discount; Exploration;;;;;;;
0,961;-1253,5;0,08;0,15;;;;;;;;
0,961;-1290;0,09;0,15;;;;;;;;
0,968;-1141;0,1;0,15;;;;;;;;
0,965;-1267,5;0,11;0,15;;;;;;;;
0,968;-1145;0,12;0,15;;;;;;;;
0,971;-1153;0,13;0,15;;;;;;;;
0,964;-1264;0,14;0,15;;;;;;;;
0,963;-1201,5;0,15;0,15;;;;;;;;
0,97;-1012;0,16;0,15;;;;;;;;
0,974;-1250,5;0,17;0,15;;;;;;;;
0,968;-995;0,18;0,15;;;;;;;;
0,973;-1086;0,19;0,15;;;;;;;;
0,982;-1136;0,2;0,15;;;;;;;;
0,962;-1077,5;0,21;0,15;;;;;;;;
0,974;-1115;0,22;0,15;;;;;;;;
0,976;-1186;0,23;0,15;;;;;;;;
0,972;-1103;0,24;0,15;;;;;;;;
0,967;-1084,5;0,25;0,15;;;;;;;;
0,973;-1199;0,26;0,15;;;;;;;;
0,973;-1052,5;0,27;0,15;;;;;;;;
0,977;-1124;0,28;0,15;;;;;;;;
0,962;-1206,5;0,08;0,16;;;;;;;;
0,972;-1135;0,09;0,16;;;;;;;;
0,966;-1202,5;0,1;0,16;;;;;;;;
0,959;-1118,5;0,11;0,16;;;;;;;;
0,968;-1250,5;0,12;0,16;;;;;;;;
0,972;-1212;0,13;0,16;;;;;;;;
0,965;-1109;0,14;0,16;;;;;;;;
0,958;-1196;0,15;0,16;;;;;;;;
0,979;-1090;0,16;0,16;;;;;;;;
0,97;-1225,5;0,17;0,16;;;;;;;;
0,974;-1120,5;0,18;0,16;;;;;;;;
0,966;-1088;0,19;0,16;;;;;;;;
0,972;-1174,5;0,2;0,16;;;;;;;;
0,972;-1207,5;0,21;0,16;;;;;;;;
0,964;-1077,5;0,22;0,16;;;;;;;;
0,968;-1243,5;0,23;0,16;;;;;;;;
0,969;-1129,5;0,24;0,16;;;;;;;;
0,972;-1140,5;0,25;0,16;;;;;;;;
0,972;-1056,5;0,26;0,16;;;;;;;;
0,965;-1049,5;0,27;0,16;;;;;;;;
0,981;-1125;0,28;0,16;;;;;;;;
0,961;-1278,5;0,08;0,17;;;;;;;;
0,965;-1166,5;0,09;0,17;;;;;;;;
0,964;-1132,5;0,1;0,17;;;;;;;;
0,967;-1256;0,11;0,17;;;;;;;;
0,961;-1124;0,12;0,17;;;;;;;;
0,97;-1104,5;0,13;0,17;;;;;;;;
0,97;-1219,5;0,14;0,17;;;;;;;;
0,977;-1062;0,15;0,17;;;;;;;;
0,957;-1180;0,16;0,17;;;;;;;;
0,968;-1107;0,17;0,17;;;;;;;;
0,972;-1053;0,18;0,17;;;;;;;;
0,965;-1054,5;0,19;0,17;;;;;;;;
0,975;-1197,5;0,2;0,17;;;;;;;;
0,967;-1167;0,21;0,17;;;;;;;;
0,963;-1009,5;0,22;0,17;;;;;;;;
0,964;-1047,5;0,23;0,17;;;;;;;;
0,973;-1200;0,24;0,17;;;;;;;;
0,979;-1029,5;0,25;0,17;;;;;;;;
0,975;-1123;0,26;0,17;;;;;;;;
0,972;-1086;0,27;0,17;;;;;;;;
0,947;-1096;0,28;0,17;;;;;;;;
0,961;-1283;0,08;0,18;;;;;;;;
0,964;-1192;0,09;0,18;;;;;;;;
0,972;-1190,5;0,1;0,18;;;;;;;;
0,964;-1225,5;0,11;0,18;;;;;;;;
0,965;-1080;0,12;0,18;;;;;;;;
0,971;-1212;0,13;0,18;;;;;;;;
0,957;-1105,5;0,14;0,18;;;;;;;;
0,972;-1120;0,15;0,18;;;;;;;;
0,973;-1202;0,16;0,18;;;;;;;;
0,969;-1182,5;0,17;0,18;;;;;;;;
0,969;-1148,5;0,18;0,18;;;;;;;;
0,974;-1160,5;0,19;0,18;;;;;;;;
0,979;-1158,5;0,2;0,18;;;;;;;;
0,966;-1098,5;0,21;0,18;;;;;;;;
0,975;-1099,5;0,22;0,18;;;;;;;;
0,873;-1031;0,23;0,18;;;;;;;;
0,96;-1139,5;0,24;0,18;;;;;;;;
0,977;-1126;0,25;0,18;;;;;;;;
0,967;-1101;0,26;0,18;;;;;;;;
0,965;-1099,5;0,27;0,18;;;;;;;;
0,878;-1036;0,28;0,18;;;;;;;;
0,969;-1170,5;0,08;0,19;;;;;;;;
0,985;-1241;0,09;0,19;;;;;;;;
0,957;-1140;0,1;0,19;;;;;;;;
0,967;-1156,5;0,11;0,19;;;;;;;;
0,957;-1220,5;0,12;0,19;;;;;;;;
0,952;-1242,5;0,13;0,19;;;;;;;;
0,974;-1176,5;0,14;0,19;;;;;;;;
0,967;-1212,5;0,15;0,19;;;;;;;;
0,976;-1109;0,16;0,19;;;;;;;;
0,965;-1060,5;0,17;0,19;;;;;;;;
0,968;-1056;0,18;0,19;;;;;;;;
0,963;-1149,5;0,19;0,19;;;;;;;;
0,973;-1134,5;0,2;0,19;;;;;;;;
0,967;-976,5;0,21;0,19;;;;;;;;
0,973;-1227;0,22;0,19;;;;;;;;
0,981;-1070,5;0,23;0,19;;;;;;;;
0,961;-1041;0,24;0,19;;;;;;;;
0,959;-1069,5;0,25;0,19;;;;;;;;
0,972;-1180,5;0,26;0,19;;;;;;;;
0,97;-1095,5;0,27;0,19;;;;;;;;
0,97;-1116;0,28;0,19;;;;;;;;
0,95;-1209;0,08;0,2;;;;;;;;
0,949;-1170,5;0,09;0,2;;;;;;;;
0,974;-1155,5;0,1;0,2;;;;;;;;
0,959;-1122,5;0,11;0,2;;;;;;;;
0,965;-1115;0,12;0,2;;;;;;;;
0,975;-1239;0,13;0,2;;;;;;;;
0,966;-1177;0,14;0,2;;;;;;;;
0,977;-1154,5;0,15;0,2;;;;;;;;
0,962;-1210,5;0,16;0,2;;;;;;;;
0,964;-1124,5;0,17;0,2;;;;;;;;
0,961;-1086,5;0,18;0,2;;;;;;;;
0,968;-1241,5;0,19;0,2;;;;;;;;
0,966;-1125,5;0,2;0,2;;;;;;;;
0,961;-1170;0,21;0,2;;;;;;;;
0,973;-1172;0,22;0,2;;;;;;;;
0,969;-1042;0,23;0,2;;;;;;;;
0,977;-1039,5;0,24;0,2;;;;;;;;
0,965;-1191;0,25;0,2;;;;;;;;
0,956;-1093,5;0,26;0,2;;;;;;;;
0,958;-1069,5;0,27;0,2;;;;;;;;
0,972;-1039,5;0,28;0,2;;;;;;;;
0,955;-1223,5;0,08;0,21;;;;;;;;
0,97;-1189,5;0,09;0,21;;;;;;;;
0,964;-1129;0,1;0,21;;;;;;;;
0,968;-1079;0,11;0,21;;;;;;;;
0,966;-1229,5;0,12;0,21;;;;;;;;
0,975;-1144,5;0,13;0,21;;;;;;;;
0,967;-1175,5;0,14;0,21;;;;;;;;
0,979;-1182,5;0,15;0,21;;;;;;;;
0,968;-1105;0,16;0,21;;;;;;;;
0,977;-1198,5;0,17;0,21;;;;;;;;
0,969;-1146,5;0,18;0,21;;;;;;;;
0,977;-1110,5;0,19;0,21;;;;;;;;
0,965;-1169,5;0,2;0,21;;;;;;;;
0,969;-1210,5;0,21;0,21;;;;;;;;
0,953;-1115;0,22;0,21;;;;;;;;
0,962;-1180;0,23;0,21;;;;;;;;
0,967;-1052,5;0,24;0,21;;;;;;;;
0,969;-1110,5;0,25;0,21;;;;;;;;
0,976;-1119;0,26;0,21;;;;;;;;
0,967;-1190,5;0,27;0,21;;;;;;;;
0,955;-1103;0,28;0,21;;;;;;;;
0,97;-1213;0,08;0,22;;;;;;;;
0,965;-1301,5;0,09;0,22;;;;;;;;
0,959;-1175;0,1;0,22;;;;;;;;
0,967;-1111,5;0,11;0,22;;;;;;;;
0,97;-1151;0,12;0,22;;;;;;;;
0,97;-1155;0,13;0,22;;;;;;;;
0,965;-982,5;0,14;0,22;;;;;;;;
0,98;-1209,5;0,15;0,22;;;;;;;;
0,956;-1158;0,16;0,22;;;;;;;;
0,964;-1132;0,17;0,22;;;;;;;;
0,956;-1165,5;0,18;0,22;;;;;;;;
0,978;-1199;0,19;0,22;;;;;;;;
0,968;-1135,5;0,2;0,22;;;;;;;;
0,917;-1063,5;0,21;0,22;;;;;;;;
0,963;-1197,5;0,22;0,22;;;;;;;;
0,975;-1143;0,23;0,22;;;;;;;;
0,977;-1093;0,24;0,22;;;;;;;;
0,974;-1140,5;0,25;0,22;;;;;;;;
0,961;-1137;0,26;0,22;;;;;;;;
0,963;-1070;0,27;0,22;;;;;;;;
0,973;-1207;0,28;0,22;;;;;;;;
0,972;-1150,5;0,08;0,23;;;;;;;;
0,965;-1219;0,09;0,23;;;;;;;;
0,966;-1160;0,1;0,23;;;;;;;;
0,963;-1221,5;0,11;0,23;;;;;;;;
0,971;-1213;0,12;0,23;;;;;;;;
0,978;-1161;0,13;0,23;;;;;;;;
0,972;-1112,5;0,14;0,23;;;;;;;;
0,949;-1227;0,15;0,23;;;;;;;;
0,95;-1196;0,16;0,23;;;;;;;;
0,965;-1152;0,17;0,23;;;;;;;;
0,968;-1102,5;0,18;0,23;;;;;;;;
0,978;-1181,5;0,19;0,23;;;;;;;;
0,965;-1102,5;0,2;0,23;;;;;;;;
0,975;-1158,5;0,21;0,23;;;;;;;;
0,977;-1108;0,22;0,23;;;;;;;;
0,937;-1132;0,23;0,23;;;;;;;;
0,975;-1205;0,24;0,23;;;;;;;;
0,975;-1114;0,25;0,23;;;;;;;;
0,97;-1038,5;0,26;0,23;;;;;;;;
0,964;-1065,5;0,27;0,23;;;;;;;;
0,96;-1096;0,28;0,23;;;;;;;;
0,973;-1177,5;0,08;0,24;;;;;;;;
0,96;-1192,5;0,09;0,24;;;;;;;;
0,969;-1179;0,1;0,24;;;;;;;;
0,963;-1190,5;0,11;0,24;;;;;;;;
0,967;-1258;0,12;0,24;;;;;;;;
0,956;-1220,5;0,13;0,24;;;;;;;;
0,965;-1239;0,14;0,24;;;;;;;;
0,977;-1181,5;0,15;0,24;;;;;;;;
0,963;-1068;0,16;0,24;;;;;;;;
0,967;-1185,5;0,17;0,24;;;;;;;;
0,967;-1014;0,18;0,24;;;;;;;;
0,978;-1086,5;0,19;0,24;;;;;;;;
0,973;-1235,5;0,2;0,24;;;;;;;;
0,96;-1168;0,21;0,24;;;;;;;;
0,974;-1123;0,22;0,24;;;;;;;;
0,972;-1209;0,23;0,24;;;;;;;;
0,954;-1141;0,24;0,24;;;;;;;;
0,967;-1149,5;0,25;0,24;;;;;;;;
0,961;-1111;0,26;0,24;;;;;;;;
0,973;-1109,5;0,27;0,24;;;;;;;;
0,966;-1110,5;0,28;0,24;;;;;;;;
0,968;-1239;0,08;0,25;;;;;;;;
0,968;-1168,5;0,09;0,25;;;;;;;;
0,958;-1170,5;0,1;0,25;;;;;;;;
0,964;-1218;0,11;0,25;;;;;;;;
0,958;-1189;0,12;0,25;;;;;;;;
0,953;-1281;0,13;0,25;;;;;;;;
0,963;-1141,5;0,14;0,25;;;;;;;;
0,971;-1151,5;0,15;0,25;;;;;;;;
0,957;-1155;0,16;0,25;;;;;;;;
0,964;-1140,5;0,17;0,25;;;;;;;;
0,97;-1255;0,18;0,25;;;;;;;;
0,967;-1156;0,19;0,25;;;;;;;;
0,969;-1209;0,2;0,25;;;;;;;;
0,98;-1175;0,21;0,25;;;;;;;;
0,96;-1106,5;0,22;0,25;;;;;;;;
0,972;-1145,5;0,23;0,25;;;;;;;;
0,971;-1138,5;0,24;0,25;;;;;;;;
0,972;-1168,5;0,25;0,25;;;;;;;;
0,965;-1190;0,26;0,25;;;;;;;;
0,968;-1159;0,27;0,25;;;;;;;;
0,962;-1066,5;0,28;0,25;;;;;;;;
0,961;-1243,5;0,08;0,26;;;;;;;;
0,958;-1289;0,09;0,26;;;;;;;;
0,961;-1139;0,1;0,26;;;;;;;;
0,966;-1168;0,11;0,26;;;;;;;;
0,964;-1185,5;0,12;0,26;;;;;;;;
0,97;-1130;0,13;0,26;;;;;;;;
0,964;-1158;0,14;0,26;;;;;;;;
0,966;-1075;0,15;0,26;;;;;;;;
0,972;-1138;0,16;0,26;;;;;;;;
0,961;-1064,5;0,17;0,26;;;;;;;;
0,965;-1158,5;0,18;0,26;;;;;;;;
0,969;-1181,5;0,19;0,26;;;;;;;;
0,971;-1173,5;0,2;0,26;;;;;;;;
0,974;-1126,5;0,21;0,26;;;;;;;;
0,973;-1099;0,22;0,26;;;;;;;;
0,964;-1082,5;0,23;0,26;;;;;;;;
0,969;-1036,5;0,24;0,26;;;;;;;;
0,967;-1193,5;0,25;0,26;;;;;;;;
0,957;-1189;0,26;0,26;;;;;;;;
0,943;-1147;0,27;0,26;;;;;;;;
0,963;-1033;0,28;0,26;;;;;;;;
0,97;-1153;0,08;0,27;;;;;;;;
0,956;-1246,5;0,09;0,27;;;;;;;;
0,954;-1220,5;0,1;0,27;;;;;;;;
0,973;-1197,5;0,11;0,27;;;;;;;;
0,966;-1168;0,12;0,27;;;;;;;;
0,963;-1114,5;0,13;0,27;;;;;;;;
0,965;-1219;0,14;0,27;;;;;;;;
0,962;-1137,5;0,15;0,27;;;;;;;;
0,958;-1117;0,16;0,27;;;;;;;;
0,98;-1214;0,17;0,27;;;;;;;;
0,962;-1162;0,18;0,27;;;;;;;;
0,954;-1167;0,19;0,27;;;;;;;;
0,964;-1146;0,2;0,27;;;;;;;;
0,972;-1110,5;0,21;0,27;;;;;;;;
0,968;-1088;0,22;0,27;;;;;;;;
0,972;-1165;0,23;0,27;;;;;;;;
0,966;-1124;0,24;0,27;;;;;;;;
0,965;-1082,5;0,25;0,27;;;;;;;;
0,968;-1118;0,26;0,27;;;;;;;;
0,965;-1181,5;0,27;0,27;;;;;;;;
0,965;-1081;0,28;0,27;;;;;;;;
0,952;-1148,5;0,08;0,28;;;;;;;;
0,963;-1259;0,09;0,28;;;;;;;;
0,954;-1336,5;0,1;0,28;;;;;;;;
0,954;-1193,5;0,11;0,28;;;;;;;;
0,965;-1241;0,12;0,28;;;;;;;;
0,966;-1163,5;0,13;0,28;;;;;;;;
0,961;-1137,5;0,14;0,28;;;;;;;;
0,964;-1119,5;0,15;0,28;;;;;;;;
0,954;-1276,5;0,16;0,28;;;;;;;;
0,968;-1097,5;0,17;0,28;;;;;;;;
0,971;-1161,5;0,18;0,28;;;;;;;;
0,971;-1142,5;0,19;0,28;;;;;;;;
0,96;-1195,5;0,2;0,28;;;;;;;;
0,964;-1076,5;0,21;0,28;;;;;;;;
0,965;-1091,5;0,22;0,28;;;;;;;;
0,964;-1151,5;0,23;0,28;;;;;;;;
0,968;-1197,5;0,24;0,28;;;;;;;;
0,966;-1087;0,25;0,28;;;;;;;;
0,971;-1011,5;0,26;0,28;;;;;;;;
0,966;-1130,5;0,27;0,28;;;;;;;;
0,916;-1172;0,28;0,28;;;;;;;;
0,971;-1226;0,08;0,29;;;;;;;;
0,955;-1196;0,09;0,29;;;;;;;;
0,945;-1153,5;0,1;0,29;;;;;;;;
0,964;-1298;0,11;0,29;;;;;;;;
0,963;-1163;0,12;0,29;;;;;;;;
0,97;-1138;0,13;0,29;;;;;;;;
0,961;-1143,5;0,14;0,29;;;;;;;;
0,957;-1143;0,15;0,29;;;;;;;;
0,956;-1220,5;0,16;0,29;;;;;;;;
0,971;-1145;0,17;0,29;;;;;;;;
0,957;-1144,5;0,18;0,29;;;;;;;;
0,978;-1319,5;0,19;0,29;;;;;;;;
0,956;-1146;0,2;0,29;;;;;;;;
0,976;-1102,5;0,21;0,29;;;;;;;;
0,974;-1125,5;0,22;0,29;;;;;;;;
0,957;-1164;0,23;0,29;;;;;;;;
0,979;-1066,5;0,24;0,29;;;;;;;;
0,974;-1129,5;0,25;0,29;;;;;;;;
0,976;-1116,5;0,26;0,29;;;;;;;;
0,97;-1156;0,27;0,29;;;;;;;;
0,944;-1270,5;0,28;0,29;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;iteration; 91 state;['wp_left' 'green' 'on_none' 'lf_none' 'rg_none'] action;left reward;-0.5 random;True
;;;;;;iteration: 92 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:False;;;;;
;;;;;;iteration: 93 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:False;;;;;
;;;;;;iteration: 93 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:False;;;;;
;;;;;;iteration: 95 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:left reward:-1.0 random:True;;;;;
;;;;;;iteration: 96 state:['wp_right' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-0.5 random:True;;;;;
;;;;;;iteration: 98 state:['wp_right' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:True;;;;;
;;;;;;iteration: 98 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:False;;;;;
;;;;;;iteration: 100 state:['wp_right' 'red' 'on_none' 'lf_none' 'rg_none'] action:left reward:-1.0 random:False;;;;;
;;;;;;iteration: 100 state:['wp_forward' 'red' 'on_none' 'lf_none' 'rg_none'] action:forward reward:-1.0 random:False;;;;;
